"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56981","The broad search proceeds with duration and adult guests for Lapland holidays @inw","Chromium","Tue Aug 19 01:47:44 UTC 2025","passed","Tue Aug 19 01:48:41 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","31004","The broad search proceeds with default values for Ski holidays @inw","Chromium","Tue Aug 19 01:39:43 UTC 2025","failed","Tue Aug 19 01:40:14 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","196305","An ECMS user creates a CTB component and views it on the General Content page undefined @component @inw","Chromium","Tue Aug 19 01:43:42 UTC 2025","broken","Tue Aug 19 01:46:59 UTC 2025","Call to Book","tests/e2e_tests/inw_tests/components/ctb.spec.ts","",""
"","0","The search bar should be displayed as sticky on Resort details page for Lapland holidays @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","0","The search bar should be displayed as sticky for Ski holidays @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","76307","An ECMS user creates a Image Carousel component and views it on the General Content page undefined @inw @component","Chromium","Tue Aug 19 01:43:26 UTC 2025","passed","Tue Aug 19 01:44:43 UTC 2025","Image Carousel","tests/e2e_tests/inw_tests/components/imageCarousel.spec.ts","",""
"","79080","The broad search proceeds with duration, adult, and child guests for Walking holidays @inw","Chromium","Tue Aug 19 01:47:03 UTC 2025","passed","Tue Aug 19 01:48:22 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","62340","The broad search proceeds with duration only for Walking holidays @inw","Chromium","Tue Aug 19 01:40:11 UTC 2025","passed","Tue Aug 19 01:41:13 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","62851","An ECMS user creates a Headline component and views it on the General Content page undefined @inw @component","Chromium","Tue Aug 19 01:43:21 UTC 2025","passed","Tue Aug 19 01:44:23 UTC 2025","Headline","tests/e2e_tests/inw_tests/components/headline.spec.ts","",""
"","37002","The broad search proceeds with default values and location for Walking holidays @inw","Chromium","Tue Aug 19 01:47:17 UTC 2025","passed","Tue Aug 19 01:47:54 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","6142","ECMS User Login","get storage state","Tue Aug 19 01:38:11 UTC 2025","passed","Tue Aug 19 01:38:18 UTC 2025","","setup/global.setup.ts","",""
"","1","Search bar should display Number of nights, Number of guests, Departure location and Date on Resort details page for Lapland holidays @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","182177","The search bar should be displayed as sticky on Resort details page for Ski holidays @inw","Chromium","Tue Aug 19 01:55:09 UTC 2025","broken","Tue Aug 19 01:58:11 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","61097","The broad search proceeds with duration only for Lapland holidays @inw","Chromium","Tue Aug 19 01:40:20 UTC 2025","passed","Tue Aug 19 01:41:21 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","0","Search bar should display Number of nights, Number of guests, Departure location and Date on Resort details page for Walking holidays @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","0","The search results are to be grouped by using a toggle to group by Accommodation or Resorts for Ski holidays @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","65484","An ECMS user creates a CTA button component and views it on the General Content page undefined @inw @component","Chromium","Tue Aug 19 01:41:13 UTC 2025","passed","Tue Aug 19 01:42:19 UTC 2025","CTA Button","tests/e2e_tests/inw_tests/components/ctaButton.spec.ts","",""
"","54732","The broad search proceeds with default values for Walking holidays @inw","Chromium","Tue Aug 19 01:39:25 UTC 2025","passed","Tue Aug 19 01:40:20 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","0","The search bar should be displayed as sticky for Walking holidays @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","110741","An ECMS user creates an Accordion component and views it on the General Content page undefined @inw @component","Chromium","Tue Aug 19 01:38:20 UTC 2025","passed","Tue Aug 19 01:40:11 UTC 2025","Accordion","tests/e2e_tests/inw_tests/components/accordion.spec.ts","",""
"","183051","Search bar should display Number of nights, Number of guests, Departure location and Date on Resort details page for Ski holidays @inw","Chromium","Tue Aug 19 01:55:28 UTC 2025","broken","Tue Aug 19 01:58:31 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","21780","The search bar should be displayed as sticky on Resort details page for Walking holidays @inw","Chromium","Tue Aug 19 01:58:15 UTC 2025","failed","Tue Aug 19 01:58:37 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","55850","The broad search proceeds with default values for Lapland holidays @inw","Chromium","Tue Aug 19 01:40:21 UTC 2025","passed","Tue Aug 19 01:41:17 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","0","The search bar should be displayed as sticky for Lapland holidays @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","119685","An ECMS user creates Good-to-know component and views it on the General Content page undefined @inw @component","Chromium","Tue Aug 19 01:41:21 UTC 2025","passed","Tue Aug 19 01:43:20 UTC 2025","Good to know","tests/e2e_tests/inw_tests/components/goodToKnow.spec.ts","",""
"","58216","The broad search proceeds with duration and adult guests for Walking holidays @inw","Chromium","Tue Aug 19 01:46:19 UTC 2025","passed","Tue Aug 19 01:47:17 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","149040","The search bar should display the updated number of nights, number of guests, departure location, and date on the Resort Details page for Ski holidays when the details have been updated. @inw","Chromium","Tue Aug 19 01:56:08 UTC 2025","failed","Tue Aug 19 01:58:37 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","0","The search bar should display the updated number of nights, number of guests, departure location, and date on the Resort Details page for Lapland holidays when the details have been updated. @inw","Chromium","Tue Aug 19 01:58:40 UTC 2025","skipped","Tue Aug 19 01:58:40 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","69021","The broad search proceeds with duration, adult, and child guests for Lapland holidays @inw","Chromium","Tue Aug 19 01:47:54 UTC 2025","passed","Tue Aug 19 01:49:03 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","55626","The broad search proceeds with duration and adult guests for Ski holidays @inw","Chromium","Tue Aug 19 01:45:23 UTC 2025","passed","Tue Aug 19 01:46:19 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","63473","The broad search proceeds with duration, adult, and child guests for Ski holidays @inw","Chromium","Tue Aug 19 01:44:43 UTC 2025","passed","Tue Aug 19 01:45:46 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","6079","PCMS User Login","get storage state","Tue Aug 19 01:38:11 UTC 2025","passed","Tue Aug 19 01:38:18 UTC 2025","","setup/global.setup.ts","",""
